2026-05-30 12:00:00,185.00,HEFA010520XYZ,1000000018
2026-05-30 12:15:00,140.00,XAXX010101000,1000000018
2026-05-30 12:30:00,999.00,RFC_INVALIDO_QUE_VA_A_FALLAR,1000000004
2026-05-30 13:00:00,280.00,BELV900812JK2,1000000018
2026-05-30 13:45:00,440.00,Cajg020614XYZ,1000000013
FECHA_ROTA_DEBE_FALLAR,150.00,XAXX010101000,1000000004
2026-05-30 14:15:00,135.00,DIAM910909LL2,1000000016
2026-05-30 14:30:00,95.00,XAXX010101000,9999999999
2026-05-30 15:00:00,190.00,ESCO840520MN6,1000000016
2026-05-30 15:20:00,TEXTO_EN_LUGAR_DE_NUMERICO,XAXX010101000,1000000004
2026-05-30 16:00:00,225.00,VALS011218AA3,1000000005
2026-05-30 16:30:00,375.00,HELM990105ABC,1000000016
2026-05-30 17:00:00,45.00,ALMM871102JK3,1000000012
2026-05-30 17:15:00,290.00,BAEP950125AA9,1000000013
